"id","labelSpanish","labelEnglish","color","fullNameSpanish","fullNameEnglish"
"064","UPCT","UPCT","#009933","Universidad Politécnica de Cartagena","Technical University of Cartagena"
"064/FCCE","FCCE","FCCE","#009933","Facultad de Ciencias de la Empresa","Facultad de Ciencias de la Empresa"
"064/ARQ&IDE","ARQ&IDE","ARQ&IDE","#009933","Escuela Arquitectura e Ing. Edificación","Escuela Arquitectura e Ing. Edificación"
"064/ETSII","ETSII","ETSII","#009933","E.Técnica Superior Ingeniería Industrial","E.Técnica Superior Ingeniería Industrial"
"064/EICM","EICM","EICM","#009933","Escuela de Ingeniería de Caminos y Minas","Escuela de Ingeniería de Caminos y Minas"
"064/ETSIA","ETSIA","ETSIA","#009933","E.Técnica Superior Ingeniería Agronómica","E.Técnica Superior Ingeniería Agronómica"
"064/ETSINO","ETSINO","ETSINO","#009933","E.T.S. de Ingeniería Naval y Oceánica","E.T.S. de Ingeniería Naval y Oceánica"
"064/ETSIT","ETSIT","ETSIT","#009933","E.T.Sup. Ingeniería de Telecomunicación","E.T.Sup. Ingeniería de Telecomunicación"
"064/ETCT","ETCT","ETCT","#009933","Escuela Universitaria de Turismo","Escuela Universitaria de Turismo"
"064/CUD","CUD","CUD","#009933","Centro Universitario de la Defensa","Centro Universitario de la Defensa"
"064/FCCE/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/ARQ&IDE/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/ETSII/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/EICM/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/ETSIA/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/ETSINO/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/ETSIT/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/ETCT/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/CUD/GRA","Grado","Bachelor","#009933","Grado","Bachelor"
"064/ETSII/PSC","Primer y segundo ciclo","Pre-EHEA programmes","#009933","Primer y segundo ciclo","Pre-EHEA programmes"
"064/ETSINO/PSC","Primer y segundo ciclo","Pre-EHEA programmes","#009933","Primer y segundo ciclo","Pre-EHEA programmes"
"064/ETSIT/PSC","Primer y segundo ciclo","Pre-EHEA programmes","#009933","Primer y segundo ciclo","Pre-EHEA programmes"
"064/FCCE/PSC","Primer y segundo ciclo","Pre-EHEA programmes","#009933","Primer y segundo ciclo","Pre-EHEA programmes"
"064/ETSIA/PSC","Primer y segundo ciclo","Pre-EHEA programmes","#009933","Primer y segundo ciclo","Pre-EHEA programmes"
"064/ETSII/MOF","Máster","Master","#009933","Máster","Master"
"064/ETSIT/MOF","Máster","Master","#009933","Máster","Master"
"064/FCCE/MOF","Máster","Master","#009933","Máster","Master"
"064/EICM/MOF","Máster","Master","#009933","Máster","Master"
"064/ETSIA/MOF","Máster","Master","#009933","Máster","Master"
"064/ARQ&IDE/MOF","Máster","Master","#009933","Máster","Master"
"064/FCCE/GRA/5101","Grado ADE","Grado ADE","#009933","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS"
"064/ARQ&IDE/GRA/5011","G. Arquitectura","G. Arquitectura","#009933","GRADO EN ARQUITECTURA","GRADO EN ARQUITECTURA"
"064/ETSII/GRA/5071","G. I. Electrónica Ind.","G. I. Electrónica Ind.","#009933","GRADO EN INGENIERIA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA","GRADO EN INGENIERIA ELECTRÓNICA INDUSTRIAL Y AUTOMÁTICA"
"064/EICM/GRA/5171","G. I. Rec. Minerales y Energía","G. I. Rec. Minerales y Energía","#009933","GRADO EN INGENIERÍA DE RECURSOS MINERALES Y ENERGÍA","GRADO EN INGENIERÍA DE RECURSOS MINERALES Y ENERGÍA"
"064/ETSIA/GRA/5141","G. I. Horto. y Jard.","G. I. Horto. y Jard.","#009933","GRADO EN INGENIERÍA DE LA HORTOFRUTICULTURA Y JARDINERÍA","GRADO EN INGENIERÍA DE LA HORTOFRUTICULTURA Y JARDINERÍA"
"064/ETSINO/GRA/5131","G. Arq. Naval e I. S. Marinos","G. Arq. Naval e I. S. Marinos","#009933","GRADO EN ARQUITECTURA NAVAL E INGENIERÍA DE SISTEMAS MARINOS","GRADO EN ARQUITECTURA NAVAL E INGENIERÍA DE SISTEMAS MARINOS"
"064/ETSII/GRA/5061","G. I. Eléctrica","G. I. Eléctrica","#009933","GRADO EN INGENIERÍA ELÉCTRICA","GRADO EN INGENIERÍA ELÉCTRICA"
"064/ARQ&IDE/GRA/5021","G.I. Edificación","G.I. Edificación","#009933","GRADO EN INGENIERÍA DE EDIFICACIÓN","GRADO EN INGENIERÍA DE EDIFICACIÓN"
"064/ETSIT/GRA/5051","G. I. Telemática","G. I. Telemática","#009933","GRADO EN INGENIERÍA TELEMÁTICA","GRADO EN INGENIERÍA TELEMÁTICA"
"064/EICM/GRA/5161","G. I. Civil","G. I. Civil","#009933","GRADO EN INGENIERÍA CIVIL","GRADO EN INGENIERÍA CIVIL"
"064/ETSIT/GRA/5041","G. I. Sists. Telecs.","G. I. Sists. Telecs.","#009933","GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN","GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN"
"064/ETSII/GRA/5081","G. I. Mecánica","G. I. Mecánica","#009933","GRADO EN INGENIERÍA MECÁNICA","GRADO EN INGENIERÍA MECÁNICA"
"064/ETSIA/GRA/5181","G. I. Agroalim. Sists. Bio.","G. I. Agroalim. Sists. Bio.","#009933","GRADO EM INGENIERÍA AGROALIMENTARIA Y DE SISTEMAS BIOLÓGICOS","GRADO EM INGENIERÍA AGROALIMENTARIA Y DE SISTEMAS BIOLÓGICOS"
"064/ETSII/GRA/5121","G. I. Tecns. Ind.","G. I. Tecns. Ind.","#009933","GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES","GRADO EN INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES"
"064/ETSIA/GRA/5151","G. I. Inds. Agroalimentarias","G. I. Inds. Agroalimentarias","#009933","GRADO EN INGENIERÍA DE LAS INDUSTRIAS AGROALIMENTARIAS","GRADO EN INGENIERÍA DE LAS INDUSTRIAS AGROALIMENTARIAS"
"064/ETSII/GRA/5091","G. I. Química Industrial","G. I. Química Industrial","#009933","GRADO EN INGENIERÍA QUÍMICA INDUSTRIAL","GRADO EN INGENIERÍA QUÍMICA INDUSTRIAL"
"064/ETCT/GRA/5031","G. Turísmo","G. Turísmo","#009933","GRADO EN TURISMO","GRADO EN TURISMO"
