"source","target"
"064","064/PDI"
"064","064/PAS"
"064/PDI","064/PDI/Laboral"
"064/PDI","064/PDI/Funcionario"
"064/PAS","064/PAS/F"
"064/PAS","064/L"
"064/PAS","064/PAS/LI"
"064/PDI/Laboral","064/PDI/Laboral/16"
"064/PDI/Laboral","064/PDI/Laboral/06"
"064/PDI/Funcionario","064/PDI/Funcionario/02"
"064/PDI/Funcionario","064/PDI/Funcionario/13"
"064/PDI/Laboral","064/PDI/Laboral/03"
"064/PDI/Laboral","064/PDI/Laboral/05"
"064/PDI/Funcionario","064/PDI/Funcionario/12"
"064/PDI/Funcionario","064/PDI/Funcionario/01"
"064/PDI/Laboral","064/PDI/Laboral/14"
"064/PDI/Laboral","064/PDI/Laboral/LIF"
"064/PDI/Laboral","064/PDI/Laboral/LI"
"064/PDI/Laboral","064/PDI/Laboral/04"
"064/PAS/F","064/PAS/F/FI"
"064/PAS/F","064/PAS/F/FC"
"064/PAS/F/FI","064/PAS/F/FI/4"
"064/PAS/F/FC","064/PAS/F/FC/5"
"064/PAS/F/FC","064/PAS/F/FC/2"
"064/PAS/F/FC","064/PAS/F/FC/4"
"064/PAS/F/FC","064/PAS/F/FC/1"
"064/PAS/F/FI","064/PAS/F/FI/5"
"064/PAS/F/FI","064/PAS/F/FI/2"
"064/PAS/F/FI","064/PAS/F/FI/1"
