"id","labelSpanish","labelEnglish","color","fullNameSpanish","fullNameEnglish"
"064","Personal","Personal","rgb(205, 63, 63)","Personal","Personal"
"064/PDI","PDI","PDI","rgb(205, 63, 63)","Personal Docente e Investigador","Personal Docente e Investigador"
"064/PAS","PAS","PAS","rgb(205, 63, 63)","Personal de Admnistración y Servicios","Personal de Administración y Servicios"
"064/PDI/Laboral","Laboral","Laboral","rgb(205, 63, 63)","Laboral","Laboral"
"064/PDI/Funcionario","Funcionario","Funcionario","rgb(205, 63, 63)","Funcionario","Funcionario"
"064/PAS/F","Funcionario","Funcionario","rgb(205, 63, 63)","Funcionario","Funcionario"
"064/L","Laboral","Laboral","rgb(205, 63, 63)","Laboral","Laboral"
"064/PAS/LI","Contratados I+D+I","Contratatos I+D+I","rgb(205, 63, 63)","Contratados con cargo a actividades de I+D+I","Contratados con cargo a actividades de I+D+I"
"064/PDI/Laboral/16","Docente de sustitución","Docente de sustitución","rgb(205, 63, 63)","Docente de sustitución","Docente de sustitución"
"064/PDI/Laboral/06","Profesor Asociado","Profesor Asociado","rgb(205, 63, 63)","Profesor Asociado","Profesor Asociado"
"064/PDI/Funcionario/02","Profesor Titular de Universidad","Profesor Titular de Universidad","rgb(205, 63, 63)","Profesor Titular de Universidad","Profesor Titular de Universidad"
"064/PDI/Funcionario/13","Profesor Titular de Escuela Universitaria","Profesor Titular de Escuela Universitaria","rgb(205, 63, 63)","Profesor Titular de Escuela Universitaria","Profesor Titular de Escuela Universitaria"
"064/PDI/Laboral/03","Ayudante","Ayudante","rgb(205, 63, 63)","Ayudante","Ayudante"
"064/PDI/Laboral/05","Profesor Contratado Doctor","Profesor Contratado Doctor","rgb(205, 63, 63)","Profesor Contratado Doctor","Profesor Contratado Doctor"
"064/PDI/Funcionario/12","Catedrático de Escuela Universitaria","Catedrático de Escuela Universitaria","rgb(205, 63, 63)","Catedrático de Escuela Universitaria","Catedrático de Escuela Universitaria"
"064/PDI/Funcionario/01","Catedrático de Universidad","Catedrático de Universidad","rgb(205, 63, 63)","Catedrático de Universidad","Catedrático de Universidad"
"064/PDI/Laboral/14","Profesor Colaborador","Profesor Colaborador","rgb(205, 63, 63)","Profesor Colaborador","Profesor Colaborador"
"064/PDI/Laboral/02","Laboral de Investigación en Formación","Laboral de Investigación en Formación","rgb(205, 63, 63)","Laboral de Investigación en Formación","Laboral de Investigación en Formación"
"064/PDI/Laboral/02","Laboral de Investigación","Laboral de Investigación","rgb(205, 63, 63)","Laboral de Investigación","Laboral de Investigación"
"064/PDI/Laboral/04","Profesor Ayudante Doctor","Profesor Ayudante Doctor","rgb(205, 63, 63)","Profesor Ayudante Doctor","Profesor Ayudante Doctor"
"064/PAS/F/FI","Funcionario Interino","Funcionario Interino","rgb(205, 63, 63)","Funcionario Interino","Funcionario Interino"
"064/PAS/F/FC","Funcionario Carrera","Funcionario Carrera","rgb(205, 63, 63)","Funcionario Carrera","Funcionario Carrera"
"064/PAS/F/FI/4","Subgrupo C1","Subgrupo C1","rgb(205, 63, 63)","Subgrupo C1","Subgrupo C1"
"064/PAS/F/FC/5","Subgrupo C2","Subgrupo C2","rgb(205, 63, 63)","Subgrupo C2","Subgrupo C2"
"064/PAS/F/FC/2","Subgrupo A2","Subgrupo A2","rgb(205, 63, 63)","Subgrupo A2","Subgrupo A2"
"064/PAS/F/FC/4","Subgrupo C1","Subgrupo C1","rgb(205, 63, 63)","Subgrupo C1","Subgrupo C1"
"064/PAS/F/FC/1","Subgrupo A1","Subgrupo A1","rgb(205, 63, 63)","Subgrupo A1","Subgrupo A1"
"064/PAS/F/FI/5","Subgrupo C2","Subgrupo C2","rgb(205, 63, 63)","Subgrupo C2","Subgrupo C2"
"064/PAS/F/FI/2","Subgrupo A2","Subgrupo A2","rgb(205, 63, 63)","Subgrupo A2","Subgrupo A2"
"064/PAS/F/FI/1","Subgrupo A1","Subgrupo A1","rgb(205, 63, 63)","Subgrupo A1","Subgrupo A1"
