"source","target"
"064","064/FCCE"
"064","064/ARQ&IDE"
"064","064/ETSII"
"064","064/EICM"
"064","064/ETSIA"
"064","064/ETSINO"
"064","064/ETSIT"
"064","064/ETCT"
"064","064/CUD"
"064","064/INCOMING"
"064/FCCE","064/FCCE/GRA"
"064/ARQ&IDE","064/ARQ&IDE/GRA"
"064/ETSII","064/ETSII/GRA"
"064/EICM","064/EICM/GRA"
"064/ETSIA","064/ETSIA/GRA"
"064/ETSINO","064/ETSINO/GRA"
"064/ETSIT","064/ETSIT/GRA"
"064/ETCT","064/ETCT/GRA"
"064/CUD","064/CUD/GRA"
"064/ETSII","064/ETSII/PSC"
"064/ETSINO","064/ETSINO/PSC"
"064/ETSIT","064/ETSIT/PSC"
"064/FCCE","064/FCCE/PSC"
"064/ETSIA","064/ETSIA/PSC"
"064/ETSII","064/ETSII/MOF"
"064/ETSIT","064/ETSIT/MOF"
"064/FCCE","064/FCCE/MOF"
"064/EICM","064/EICM/MOF"
"064/ETSIA","064/ETSIA/MOF"
"064/ARQ&IDE","064/ARQ&IDE/MOF"
"064/FCCE/GRA","064/FCCE/GRA/5101"
"064/ARQ&IDE/GRA","064/ARQ&IDE/GRA/5011"
"064/ETSII/GRA","064/ETSII/GRA/5071"
"064/EICM/GRA","064/EICM/GRA/5171"
"064/ETSIA/GRA","064/ETSIA/GRA/5141"
"064/ETSINO/GRA","064/ETSINO/GRA/5131"
"064/ETSII/GRA","064/ETSII/GRA/5061"
"064/ARQ&IDE/GRA","064/ARQ&IDE/GRA/5021"
"064/ETSIT/GRA","064/ETSIT/GRA/5051"
"064/EICM/GRA","064/EICM/GRA/5161"
"064/ETSIT/GRA","064/ETSIT/GRA/5041"
"064/ETSII/GRA","064/ETSII/GRA/5081"
"064/ETSIA/GRA","064/ETSIA/GRA/5181"
"064/ETSII/GRA","064/ETSII/GRA/5121"
"064/ETSIA/GRA","064/ETSIA/GRA/5151"
"064/ETSII/GRA","064/ETSII/GRA/5091"
"064/ETCT/GRA","064/ETCT/GRA/5031"
"064/CUD/GRA","064/CUD/GRA/5111"
"064/ETSII/MOF","064/ETSII/MOF/2114"
"064/ETSIT/MOF","064/ETSIT/MOF/2111"
"064/FCCE/MOF","064/FCCE/MOF/2082"
"064/EICM/MOF","064/EICM/MOF/2131"
"064/FCCE/MOF","064/FCCE/MOF/2121"
"064/ETSIA/MOF","064/ETSIA/MOF/2032"
"064/ARQ&IDE/MOF","064/ARQ&IDE/MOF/2001"
"064/FCCE/MOF","064/FCCE/MOF/2108"
"064/ETSIT/MOF","064/ETSIT/MOF/2311"
"064/ETSII/MOF","064/ETSII/MOF/2261"
"064/ETSII/MOF","064/ETSII/MOF/2231"
"064/FCCE/MOF","064/FCCE/MOF/2751"
"064/ETSII/MOF","064/ETSII/MOF/2106"
"064/ARQ&IDE/MOF","064/ARQ&IDE/MOF/2271"
"064/ETSIA/MOF","064/ETSIA/MOF/2291"
"064/EICM/MOF","064/EICM/MOF/2107"
"064/ETSII/MOF","064/ETSII/MOF/2011"
"064/EICM/MOF","064/EICM/MOF/2281"
"064/FCCE/MOF","064/FCCE/MOF/2171"
