"node_id","indicator","value","year"
"064","students","6743","2013-14"
"064","maleproportion","71","2013-14"
"064/ARQ&IDE","students","827","2013-14"
"064/ARQ&IDE","maleproportion","56","2013-14"
"064/ARQ&IDE/GRA","students","798","2013-14"
"064/ARQ&IDE/GRA","maleproportion","56","2013-14"
"064/ARQ&IDE/GRA/5011","students","465","2013-14"
"064/ARQ&IDE/GRA/5011","maleproportion","53","2013-14"
"064/ARQ&IDE/GRA/5021","students","333","2013-14"
"064/ARQ&IDE/GRA/5021","maleproportion","60","2013-14"
"064/ARQ&IDE/MOF","students","29","2013-14"
"064/ARQ&IDE/MOF","maleproportion","69","2013-14"
"064/ARQ&IDE/MOF/2001","students","19","2013-14"
"064/ARQ&IDE/MOF/2001","maleproportion","79","2013-14"
"064/ARQ&IDE/MOF/2271","students","10","2013-14"
"064/ARQ&IDE/MOF/2271","maleproportion","50","2013-14"
"064/CUD","students","310","2013-14"
"064/CUD","maleproportion","96","2013-14"
"064/CUD/GRA","students","310","2013-14"
"064/CUD/GRA","maleproportion","96","2013-14"
"064/CUD/GRA/5111","students","310","2013-14"
"064/CUD/GRA/5111","maleproportion","96","2013-14"
"064/EICM","students","515","2013-14"
"064/EICM","maleproportion","72","2013-14"
"064/EICM/GRA","students","433","2013-14"
"064/EICM/GRA","maleproportion","74","2013-14"
"064/EICM/GRA/5161","students","338","2013-14"
"064/EICM/GRA/5161","maleproportion","72","2013-14"
"064/EICM/GRA/5171","students","95","2013-14"
"064/EICM/GRA/5171","maleproportion","82","2013-14"
"064/EICM/MOF","students","82","2013-14"
"064/EICM/MOF","maleproportion","61","2013-14"
"064/EICM/MOF/2107","students","5","2013-14"
"064/EICM/MOF/2107","maleproportion","80","2013-14"
"064/EICM/MOF/2131","students","73","2013-14"
"064/EICM/MOF/2131","maleproportion","60","2013-14"
"064/EICM/MOF/2281","students","4","2013-14"
"064/EICM/MOF/2281","maleproportion","50","2013-14"
"064/EP","students","457","2013-14"
"064/EP","maleproportion","63","2013-14"
"064/ETCT","students","71","2013-14"
"064/ETCT","maleproportion","42","2013-14"
"064/ETCT/GRA","students","71","2013-14"
"064/ETCT/GRA","maleproportion","42","2013-14"
"064/ETCT/GRA/5031","students","71","2013-14"
"064/ETCT/GRA/5031","maleproportion","42","2013-14"
"064/ETSIA","students","296","2013-14"
"064/ETSIA","maleproportion","58","2013-14"
"064/ETSIA/GRA","students","249","2013-14"
"064/ETSIA/GRA","maleproportion","61","2013-14"
"064/ETSIA/GRA/5141","students","74","2013-14"
"064/ETSIA/GRA/5141","maleproportion","73","2013-14"
"064/ETSIA/GRA/5151","students","42","2013-14"
"064/ETSIA/GRA/5151","maleproportion","64","2013-14"
"064/ETSIA/GRA/5181","students","133","2013-14"
"064/ETSIA/GRA/5181","maleproportion","54","2013-14"
"064/ETSIA/MOF","students","22","2013-14"
"064/ETSIA/MOF","maleproportion","27","2013-14"
"064/ETSIA/MOF/2032","students","20","2013-14"
"064/ETSIA/MOF/2032","maleproportion","25","2013-14"
"064/ETSIA/MOF/2291","students","2","2013-14"
"064/ETSIA/MOF/2291","maleproportion","50","2013-14"
"064/ETSIA/PSC","students","25","2013-14"
"064/ETSIA/PSC","maleproportion","48","2013-14"
"064/ETSIA/PSC/1422","students","25","2013-14"
"064/ETSIA/PSC/1422","maleproportion","48","2013-14"
"064/ETSII","students","2103","2013-14"
"064/ETSII","maleproportion","83","2013-14"
"064/ETSII/GRA","students","1791","2013-14"
"064/ETSII/GRA","maleproportion","83","2013-14"
"064/ETSII/GRA/5061","students","234","2013-14"
"064/ETSII/GRA/5061","maleproportion","93","2013-14"
"064/ETSII/GRA/5071","students","330","2013-14"
"064/ETSII/GRA/5071","maleproportion","84","2013-14"
"064/ETSII/GRA/5081","students","626","2013-14"
"064/ETSII/GRA/5081","maleproportion","90","2013-14"
"064/ETSII/GRA/5091","students","189","2013-14"
"064/ETSII/GRA/5091","maleproportion","52","2013-14"
"064/ETSII/GRA/5121","students","412","2013-14"
"064/ETSII/GRA/5121","maleproportion","80","2013-14"
"064/ETSII/MOF","students","67","2013-14"
"064/ETSII/MOF","maleproportion","79","2013-14"
"064/ETSII/MOF/2011","students","2","2013-14"
"064/ETSII/MOF/2011","maleproportion","0","2013-14"
"064/ETSII/MOF/2106","students","2","2013-14"
"064/ETSII/MOF/2106","maleproportion","100","2013-14"
"064/ETSII/MOF/2114","students","25","2013-14"
"064/ETSII/MOF/2114","maleproportion","88","2013-14"
"064/ETSII/MOF/2231","students","26","2013-14"
"064/ETSII/MOF/2231","maleproportion","85","2013-14"
"064/ETSII/MOF/2261","students","12","2013-14"
"064/ETSII/MOF/2261","maleproportion","58","2013-14"
"064/ETSII/PSC","students","245","2013-14"
"064/ETSII/PSC","maleproportion","80","2013-14"
"064/ETSII/PSC/1011","students","71","2013-14"
"064/ETSII/PSC/1011","maleproportion","68","2013-14"
"064/ETSII/PSC/1412","students","174","2013-14"
"064/ETSII/PSC/1412","maleproportion","84","2013-14"
"064/ETSINO","students","289","2013-14"
"064/ETSINO","maleproportion","72","2013-14"
"064/ETSINO/GRA","students","210","2013-14"
"064/ETSINO/GRA","maleproportion","72","2013-14"
"064/ETSINO/GRA/5131","students","210","2013-14"
"064/ETSINO/GRA/5131","maleproportion","72","2013-14"
"064/ETSINO/PSC","students","79","2013-14"
"064/ETSINO/PSC","maleproportion","71","2013-14"
"064/ETSINO/PSC/1091","students","79","2013-14"
"064/ETSINO/PSC/1091","maleproportion","71","2013-14"
"064/ETSIT","students","570","2013-14"
"064/ETSIT","maleproportion","82","2013-14"
"064/ETSIT/GRA","students","448","2013-14"
"064/ETSIT/GRA","maleproportion","85","2013-14"
"064/ETSIT/GRA/5041","students","218","2013-14"
"064/ETSIT/GRA/5041","maleproportion","81","2013-14"
"064/ETSIT/GRA/5051","students","230","2013-14"
"064/ETSIT/GRA/5051","maleproportion","88","2013-14"
"064/ETSIT/MOF","students","26","2013-14"
"064/ETSIT/MOF","maleproportion","77","2013-14"
"064/ETSIT/MOF/2111","students","24","2013-14"
"064/ETSIT/MOF/2111","maleproportion","75","2013-14"
"064/ETSIT/MOF/2311","students","2","2013-14"
"064/ETSIT/MOF/2311","maleproportion","100","2013-14"
"064/ETSIT/PSC","students","96","2013-14"
"064/ETSIT/PSC","maleproportion","74","2013-14"
"064/ETSIT/PSC/1021","students","96","2013-14"
"064/ETSIT/PSC/1021","maleproportion","74","2013-14"
"064/FCCE","students","738","2013-14"
"064/FCCE","maleproportion","49","2013-14"
"064/FCCE/GRA","students","652","2013-14"
"064/FCCE/GRA","maleproportion","48","2013-14"
"064/FCCE/GRA/5101","students","652","2013-14"
"064/FCCE/GRA/5101","maleproportion","48","2013-14"
"064/FCCE/MOF","students","79","2013-14"
"064/FCCE/MOF","maleproportion","56","2013-14"
"064/FCCE/MOF/2082","students","17","2013-14"
"064/FCCE/MOF/2082","maleproportion","53","2013-14"
"064/FCCE/MOF/2108","students","12","2013-14"
"064/FCCE/MOF/2108","maleproportion","42","2013-14"
"064/FCCE/MOF/2121","students","20","2013-14"
"064/FCCE/MOF/2121","maleproportion","65","2013-14"
"064/FCCE/MOF/2171","students","1","2013-14"
"064/FCCE/MOF/2171","maleproportion","0","2013-14"
"064/FCCE/MOF/2751","students","29","2013-14"
"064/FCCE/MOF/2751","maleproportion","59","2013-14"
"064/FCCE/PSC","students","7","2013-14"
"064/FCCE/PSC","maleproportion","43","2013-14"
"064/FCCE/PSC/1041","students","7","2013-14"
"064/FCCE/PSC/1041","maleproportion","43","2013-14"
"064/INCOMING","students","165","2013-14"
"064/INCOMING","maleproportion","59","2013-14"
"064/PhD","students","402","2013-14"
"064/PhD","maleproportion","69","2013-14"
"064/ARQ&IDE/GRA/5011","newstudents","86","2008-09"
"064/FCCE/GRA/5101","newstudents","-","2008-09"
"064/ARQ&IDE/GRA/5021","newstudents","-","2008-09"
"064/ETSII/GRA/5091","newstudents","-","2008-09"
"064/ETSINO/GRA/5131","newstudents","-","2008-09"
"064/EICM/GRA/5161","newstudents","-","2008-09"
"064/ETSIA/GRA/5141","newstudents","-","2008-09"
"064/ETSIA/GRA/5151","newstudents","-","2008-09"
"064/CUD/GRA/5111","newstudents","-","2008-09"
"064/EICM/GRA/5171","newstudents","-","2008-09"
"064/ETSII/GRA/5061","newstudents","-","2008-09"
"064/ETSII/GRA/5071","newstudents","-","2008-09"
"064/ETSIT/GRA/5041","newstudents","-","2008-09"
"064/ETSII/GRA/5121","newstudents","-","2008-09"
"064/ETSII/GRA/5081","newstudents","-","2008-09"
"064/ETSIT/GRA/5051","newstudents","-","2008-09"
"064/ETCT/GRA/5031","newstudents","-","2008-09"
"064/ARQ&IDE/GRA/5011","newstudents","95","2009-10"
"064/FCCE/GRA/5101","newstudents","182","2009-10"
"064/ARQ&IDE/GRA/5021","newstudents","251","2009-10"
"064/ETSII/GRA/5091","newstudents","34","2009-10"
"064/ETSINO/GRA/5131","newstudents","-","2009-10"
"064/EICM/GRA/5161","newstudents","-","2009-10"
"064/ETSIA/GRA/5141","newstudents","-","2009-10"
"064/ETSIA/GRA/5151","newstudents","-","2009-10"
"064/CUD/GRA/5111","newstudents","-","2009-10"
"064/EICM/GRA/5171","newstudents","-","2009-10"
"064/ETSII/GRA/5061","newstudents","-","2009-10"
"064/ETSII/GRA/5071","newstudents","-","2009-10"
"064/ETSIT/GRA/5041","newstudents","-","2009-10"
"064/ETSII/GRA/5121","newstudents","-","2009-10"
"064/ETSII/GRA/5081","newstudents","-","2009-10"
"064/ETSIT/GRA/5051","newstudents","-","2009-10"
"064/ETCT/GRA/5031","newstudents","-","2009-10"
"064/ARQ&IDE/GRA/5011","newstudents","93","2010-11"
"064/FCCE/GRA/5101","newstudents","194","2010-11"
"064/ARQ&IDE/GRA/5021","newstudents","173","2010-11"
"064/ETSII/GRA/5091","newstudents","29","2010-11"
"064/ETSINO/GRA/5131","newstudents","74","2010-11"
"064/EICM/GRA/5161","newstudents","199","2010-11"
"064/ETSIA/GRA/5141","newstudents","26","2010-11"
"064/ETSIA/GRA/5151","newstudents","10","2010-11"
"064/CUD/GRA/5111","newstudents","79","2010-11"
"064/EICM/GRA/5171","newstudents","81","2010-11"
"064/ETSII/GRA/5061","newstudents","91","2010-11"
"064/ETSII/GRA/5071","newstudents","107","2010-11"
"064/ETSIT/GRA/5041","newstudents","79","2010-11"
"064/ETSII/GRA/5121","newstudents","106","2010-11"
"064/ETSII/GRA/5081","newstudents","147","2010-11"
"064/ETSIT/GRA/5051","newstudents","79","2010-11"
"064/ETCT/GRA/5031","newstudents","55","2010-11"
"064/ARQ&IDE/GRA/5011","newstudents","110","2011-12"
"064/FCCE/GRA/5101","newstudents","231","2011-12"
"064/ARQ&IDE/GRA/5021","newstudents","145","2011-12"
"064/ETSII/GRA/5091","newstudents","49","2011-12"
"064/ETSINO/GRA/5131","newstudents","47","2011-12"
"064/EICM/GRA/5161","newstudents","170","2011-12"
"064/ETSIA/GRA/5141","newstudents","53","2011-12"
"064/ETSIA/GRA/5151","newstudents","35","2011-12"
"064/CUD/GRA/5111","newstudents","66","2011-12"
"064/EICM/GRA/5171","newstudents","77","2011-12"
"064/ETSII/GRA/5061","newstudents","79","2011-12"
"064/ETSII/GRA/5071","newstudents","105","2011-12"
"064/ETSIT/GRA/5041","newstudents","72","2011-12"
"064/ETSII/GRA/5121","newstudents","105","2011-12"
"064/ETSII/GRA/5081","newstudents","196","2011-12"
"064/ETSIT/GRA/5051","newstudents","68","2011-12"
"064/ETCT/GRA/5031","newstudents","36","2011-12"
